"pid","Date","NewRank","VS","Result","Tournament_Name"
"Duwang",17626,2540.96680515712,"Dylan","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Dylan",17626,2353.4800350395,"Duwang","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"dare2dream",17626,2624.48926952792,"Katsuki","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Katsuki",17626,2464.26689713475,"dare2dream","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pandarian",17626,2622.31871459953,"Duwang","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Duwang",17626,2461.79146315824,"Pandarian","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pandarian",17626,2691.4776293309,"dare2dream","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"dare2dream",17626,2554.39009149541,"Pandarian","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Maryu",17626,2177.79474467643,"Limaj","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Limaj",17626,1947.04760206196,"Maryu","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Maryu",17626,2247.61962664731,"Smash Detour","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Smash Detour",17626,1976.52570780905,"Maryu","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Nathan Pineapple",17626,2179.32193679228,"Haushinka","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Haushinka",17626,1950.2187455577,"Nathan Pineapple","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Jitio",17626,2180.03930185629,"Wriggle","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Wriggle",17626,1949.50280870375,"Jitio","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kame",17626,2180.75287863233,"Umai","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Umai",17626,1948.79064485493,"Kame","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kavi",17626,2181.46271770074,"CoRn","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"CoRn",17626,1948.08220367613,"Kavi","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Vaelith",17626,2182.1688686393,"Enigma","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Enigma",17626,1947.37743582964,"Vaelith","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"JC",17626,2183.17939676998,"TTO","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"TTO",17626,1946.98430967075,"JC","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"8Man",17626,2225.05138751086,"Gatts","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Gatts",17626,2064.48219121131,"8Man","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"JoJoDaHoBo",17626,2329.4551391015,"Maryu","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Maryu",17626,2161.21839687769,"JoJoDaHoBo","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kila",17626,2312.45553552366,"Nathan Pineapple","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Nathan Pineapple",17626,2092.50359591651,"Kila","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Gyromight",17626,2312.99197388567,"Jitio","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Jitio",17626,2092.49887988892,"Gyromight","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2343.0790301066,"Kame","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kame",17626,2100.4478179735,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kavi",17626,2289.22014857311,"Snickeldorf","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Snickeldorf",17626,2115.46230171212,"Kavi","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Mika",17626,2312.90263583811,"Vaelith","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Vaelith",17626,2092.72220536684,"Mika","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Egg",17626,2313.60455291743,"JC","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"JC",17626,2092.8714397694,"Egg","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"8Man",17626,2324.30645882886,"Yayzors","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Yayzors",17626,2123.18174495186,"8Man","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kila",17626,2401.21851702422,"JoJoDaHoBo","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
