"pid","Date","NewRank","VS","Result","Tournament_Name"
"TTO",17676,1834.46500974758,"Ro","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Cyronna",17676,2212.06963346276,"Android?","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Android?",17676,2159.04778610496,"Cyronna","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Yayzors",17676,2123.14506388794,"TamashaSmash","Win","UW PR Singles #3 - ANTi isn't here this time :("
"TamashaSmash",17676,1849.00858199699,"Yayzors","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Wriggle",17676,2052.91407494902,"Haushinka","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Haushinka",17676,1803.22435649201,"Wriggle","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Kavi",17676,2196.77845522498,"MD4","Win","UW PR Singles #3 - ANTi isn't here this time :("
"MD4",17676,2119.33416286928,"Kavi","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"ETON",17676,2346.38594530254,"Vinnie (not the Tristate one)","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Vinnie (not the Tristate one)",17676,2174.15422721786,"ETON","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Ro",17676,2275.15549401067,"Cyronna","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Cyronna",17676,2133.1116706564,"Ro","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Yayzors",17676,2190.85042345379,"Wriggle","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Wriggle",17676,1988.8945262824,"Yayzors","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Mika",17676,2613.08196027909,"Kavi","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Kavi",17676,2181.59798223463,"Mika","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2413.29713078314,"ETON","Win","UW PR Singles #3 - ANTi isn't here this time :("
"ETON",17676,2278.1230319031,"Pokalink","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Nathan Pineapple",17676,2311.15612230678,"Ro","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Ro",17676,2203.97998044539,"Nathan Pineapple","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2542.13565329234,"Yayzors","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Yayzors",17676,2166.77773020049,"Pokepen","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2505.26298799844,"Mika","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Mika",17676,2545.27198244299,"Pokalink","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2567.07951031905,"Nathan Pineapple","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Nathan Pineapple",17676,2285.061324792,"Pokepen","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2542.07574080354,"Gyromight","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Gyromight",17676,2335.11527650424,"Pokalink","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2640.78353421989,"Pandarian","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pandarian",17676,2688.41889874041,"Pokepen","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2674.64297957177,"Pokalink","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pokalink",17676,2504.92682851295,"Pokepen","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2622.66428883607,"Pokepen","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Pokepen",17676,2620.9502248748,"Duwang","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2675.34265252538,"Slow Dancer","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2624.98259145695,"Duwang","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"Slow Dancer",17676,2678.78075910377,"Duwang","Win","UW PR Singles #3 - ANTi isn't here this time :("
"Duwang",17676,2628.49781835896,"Slow Dancer","Loss","UW PR Singles #3 - ANTi isn't here this time :("
"GAB",17728,2335.0721551402,"Mika","Win","EloTest"
"Mika",17728,2064.9278448598,"GAB","Loss","EloTest"
"Snickledorf",17728,2335.0721551402,"Kai","Win","EloTest"
"Kai",17728,2064.9278448598,"Snickledorf","Loss","EloTest"
"Pyreeze",17728,2384.69620537417,"GAB","Win","EloTest"
"GAB",17728,2197.75308114002,"Pyreeze","Loss","EloTest"
"Snickledorf",17728,2413.29182518007,"Slow Dancer","Win","EloTest"
"Slow Dancer",17728,2099.03364360144,"Snickledorf","Loss","EloTest"
"Pyreeze",17728,2503.3846247851,"Snickledorf","Win","EloTest"
"Snickledorf",17728,2314.93130067357,"Pyreeze","Loss","EloTest"
"Slow Dancer",17728,2199.64222859975,"Mika","Win","EloTest"
"Mika",17728,1962.19261852166,"Slow Dancer","Loss","EloTest"
"GAB",17728,2265.16557659869,"Kai","Win","EloTest"
"Kai",17728,1983.79982729172,"GAB","Loss","EloTest"
"Slow Dancer",17728,2306.88791255042,"GAB","Win","EloTest"
"GAB",17728,2171.1183107964,"Slow Dancer","Loss","EloTest"
"Slow Dancer",17728,2384.63831419809,"Snickledorf","Win","EloTest"
"Snickledorf",17728,2231.10467438231,"Slow Dancer","Loss","EloTest"
"Pyreeze",17728,2571.29748609081,"Slow Dancer","Win","EloTest"
"Slow Dancer",17728,2337.73275955867,"Pyreeze","Loss","EloTest"
"Mika",17729,2059.8967150352,"Kai","Win","EloTestB"
"Kai",17729,1886.18828215509,"Mika","Loss","EloTestB"
"Snickledorf",17729,2289.39007245513,"JJ","Win","EloTestB"
"JJ",17729,2066.8845069829,"Snickledorf","Loss","EloTestB"
"Pyreeze",17729,2584.92393748165,"Mika","Win","EloTestB"
"Mika",17729,2045.91398237914,"Pyreeze","Loss","EloTestB"
"Slow Dancer",17729,2390.91321659534,"Snickledorf","Win","EloTestB"
"Snickledorf",17729,2232.64893797411,"Slow Dancer","Loss","EloTestB"
"Pyreeze",17729,2627.80027276108,"Slow Dancer","Win","EloTestB"
"Slow Dancer",17729,2361.24784267548,"Pyreeze","Loss","EloTestB"
"Snickledorf",17729,2250.9143673192,"Kai","Win","EloTestB"
"Kai",17729,1859.45061062846,"Snickledorf","Loss","EloTestB"
"Mika",17729,2122.5721639242,"JJ","Win","EloTestB"
"JJ",17729,1954.38725690431,"Mika","Loss","EloTestB"
"Mika",17729,2214.80663264342,"Snickledorf","Win","EloTestB"
"Snickledorf",17729,2180.62272435195,"Mika","Loss","EloTestB"
"Slow Dancer",17729,2394.0848302398,"Mika","Win","EloTestB"
"Mika",17729,2175.81951107456,"Slow Dancer","Loss","EloTestB"
"Pyreeze",17729,2660.82999926986,"Slow Dancer","Win","EloTestB"
"Slow Dancer",17729,2372.08496734062,"Pyreeze","Loss","EloTestB"
