"Tournament","date","player1_id","player2_id","player1_score","player2_score","url"
"Ultimate Singles",2019-03-02,"4U","Porge",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"AHero","Bluewerd",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Majora","Louie",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Ranch?","Pinkowl",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Saenoe","Alm",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Ponco","Oasis",-1,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Shoop","StealyMonk",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," HBomb","Double R",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"AM","CashCarti",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"electrp","4U",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"AHero","Jazzy",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Majora"," Ranch?",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"NoTAP","Saenoe",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Scalchop","Oasis",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Frogtaco","Shoop",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Phantom","Double R",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Pogiboi","AM",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Dewey","4U",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Tide","AHero",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Kemba","Majora",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"NoTAP"," Scalchop",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Frogtaco","Phantom",1,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"AM"," Dewey",1,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"AHero","Kemba",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Chaos","NoTAP",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Kyros","Phantom",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Gengur"," Dewey",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"DJ","AHero",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Chaos"," Kyros",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Gengur","DJ",1,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Legendary Jay"," Chaos",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Yayzors","DJ",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",NA," Legendary Jay"," Yayzors",NA,NA,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Iwakura","Jayar",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Forensic_","A Cute Boy",0,2,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Twice"," omni_",2,1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02," Bruh...","Rocky Chongo",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"grumpypants","th3o",2,0,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
"Ultimate Singles",2019-03-02,"Sherwizzle","Octagon",0,-1,"https://smash.gg/tournament/orbitar-66/event/ultimate-singles"
